Treat,Rep,Mortality
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
10,12,0
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,1
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,13,0
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,1
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,14,0
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,1
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
14.5,15,0
21,16,1
21,16,1
21,16,1
21,16,1
21,16,1
21,16,1
21,16,1
21,16,1
21,16,1
21,16,1
21,16,1
21,16,1
21,16,1
21,16,1
21,16,1
21,16,1
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,16,0
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,1
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,17,0
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,1
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
21,18,0
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,1
29.5,19,0
29.5,19,0
29.5,19,0
29.5,19,0
29.5,19,0
29.5,19,0
29.5,19,0
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,1
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,20,0
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,1
29.5,21,0
29.5,21,0
29.5,21,0
29.5,21,0
29.5,21,0
29.5,21,0
29.5,21,0
29.5,21,0
29.5,21,0
29.5,21,0
29.5,21,0
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,1
40,22,0
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,1
40,23,0
40,23,0
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,1
40,24,0
40,24,0
40,24,0
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,25,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,1
53,26,0
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,1
53,27,0
